sample_index,dataset,config,split,true_label,r3d_18_pred,r3d_18_raw,r3d_18_latency_sec,r3d_18_correct,r3d_18_note,mc3_18_pred,mc3_18_raw,mc3_18_latency_sec,mc3_18_correct,mc3_18_note,r2plus1d_18_pred,r2plus1d_18_raw,r2plus1d_18_latency_sec,r2plus1d_18_correct,r2plus1d_18_note,Gemma3n_e2b_it_pred,Gemma3n_e2b_it_raw,Gemma3n_e2b_it_latency_sec,Gemma3n_e2b_it_correct,Gemma3n_e4b_it_pred,Gemma3n_e4b_it_raw,Gemma3n_e4b_it_latency_sec,Gemma3n_e4b_it_correct
1,nateraw/kinetics-mini,,validation,flying_kite,archery,bungee jumping,0.6184541219845414,0,mapping_failed,archery,flying kite,0.11783284496050328,0,mapping_failed,archery,flying kite,0.31693132407963276,0,mapping_failed,flying_kite,flying_kite,14.571077504078858,1,flying_kite,flying_kite,14.668041117023677,1
2,nateraw/kinetics-mini,,validation,high_jump,archery,high jump,0.0025694010546430945,0,mapping_failed,archery,high jump,0.002076052944175899,0,mapping_failed,archery,high jump,0.0032133880304172635,0,mapping_failed,high_jump,high_jump,0.21923704794608057,1,high_jump,high_jump,0.24343372299335897,1
3,nateraw/kinetics-mini,,validation,archery,archery,archery,0.0025492310523986816,1,,archery,archery,0.0020380630157887936,1,,archery,archery,0.003183568944223225,1,,archery,archery,0.17484598397277296,1,archery,archery,0.19214471301529557,1
4,nateraw/kinetics-mini,,validation,high_jump,archery,pole vault,0.0025863810442388058,0,mapping_failed,archery,high jump,0.002048932947218418,0,mapping_failed,archery,high jump,0.0032124390127137303,0,mapping_failed,archery,archery,0.17344459891319275,0,archery,archery,0.1924718120135367,0
5,nateraw/kinetics-mini,,validation,archery,archery,riding unicycle,0.0025813609827309847,1,mapping_failed,archery,archery,0.002045521978288889,1,,archery,archery,0.00317106896545738,1,,archery,archery,0.17453418602235615,1,archery,archery,0.198291692067869,1
6,nateraw/kinetics-mini,,validation,marching,marching,marching,0.0025518910260871053,1,,marching,marching,0.0020430029835551977,1,,marching,marching,0.003185149049386382,1,,marching,marching,0.17307768005412072,1,marching,marching,0.19209480402059853,1
7,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.0025812009116634727,0,mapping_failed,archery,catching or throwing frisbee,0.002059002057649195,0,mapping_failed,archery,hitting baseball,0.0032100590178743005,0,mapping_failed,flying_kite,flying_kite,0.21909205906558782,1,flying_kite,flying_kite,0.24137914995662868,1
8,nateraw/kinetics-mini,,validation,marching,marching,marching,0.002553361002355814,1,,marching,marching,0.0020367219112813473,1,,marching,marching,0.003191558993421495,1,,marching,marching,0.17169189604464918,1,marching,marching,0.19089188799262047,1
9,nateraw/kinetics-mini,,validation,archery,archery,archery,0.0025319409323856235,1,,archery,archery,0.002050883020274341,1,,archery,archery,0.003194098942913115,1,,archery,archery,0.171716446056962,1,archery,archery,0.19045911903958768,1
10,nateraw/kinetics-mini,,validation,archery,archery,archery,0.002565080998465419,1,,archery,archery,0.0020465030102059245,1,,archery,archery,0.003199479077011347,1,,archery,archery,0.17196659394539893,1,archery,archery,0.19376320799347013,1
11,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.002527120988816023,1,,bowling,bowling,0.0020390331046655774,1,,bowling,bowling,0.003189479000866413,1,,bowling,bowling,0.1773879659594968,1,bowling,bowling,0.19655416801106185,1
12,nateraw/kinetics-mini,,validation,marching,marching,marching,0.0025152600137516856,1,,marching,marching,0.0020564630394801497,1,,marching,marching,0.0031983189983293414,1,,marching,marching,0.17738267593085766,1,marching,marching,0.19590959104243666,1
13,nateraw/kinetics-mini,,validation,archery,archery,archery,0.0024928810307756066,1,,archery,archery,0.002041302970610559,1,,archery,archery,0.003186988993547857,1,,archery,archery,0.17295921104960144,1,archery,archery,0.19048466894309968,1
14,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.0025743419537320733,0,mapping_failed,archery,flying kite,0.0020779529586434364,0,mapping_failed,archery,flying kite,0.0032167889876291156,0,mapping_failed,flying_kite,flying_kite,0.21771780401468277,1,flying_kite,flying_kite,0.2414677490014583,1
15,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.0025718410033732653,0,mapping_failed,archery,flying kite,0.0020646629855036736,0,mapping_failed,archery,flying kite,0.003214139025658369,0,mapping_failed,flying_kite,flying_kite,0.21756937401369214,1,flying_kite,flying_kite,0.2486792349955067,1
16,nateraw/kinetics-mini,,validation,archery,archery,archery,0.002554040984250605,1,,archery,archery,0.002043493092060089,1,,archery,archery,0.0031997779151424766,1,,archery,archery,0.17211826506536454,1,archery,archery,0.19046243000775576,1
17,nateraw/kinetics-mini,,validation,high_jump,archery,high jump,0.002550521050579846,0,mapping_failed,archery,high jump,0.0020664120092988014,0,mapping_failed,archery,javelin throw,0.003217649064026773,0,mapping_failed,archery,archery,0.17198684497270733,0,high_jump,high_jump,0.24207197700161487,1
18,nateraw/kinetics-mini,,validation,marching,marching,marching,0.002482391078956425,1,,marching,marching,0.002033243072219193,1,,marching,marching,0.0031955890590325,1,,marching,marching,0.1726766920182854,1,marching,marching,0.19032675004564226,1
19,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.002538120956160128,0,mapping_failed,archery,flying kite,0.002056412980891764,0,mapping_failed,archery,flying kite,0.0032094179186969995,0,mapping_failed,flying_kite,flying_kite,0.2173656050581485,1,flying_kite,flying_kite,0.24147786991670728,1
20,nateraw/kinetics-mini,,validation,archery,archery,archery,0.0024954809341579676,1,,archery,golf chipping,0.0020639230497181416,1,mapping_failed,archery,archery,0.003199939033947885,1,,archery,archery,0.17335398006252944,1,archery,archery,0.19048457907047123,1
21,nateraw/kinetics-mini,,validation,high_jump,archery,high jump,0.0025595109909772873,0,mapping_failed,archery,vault,0.002056061988696456,0,mapping_failed,archery,high jump,0.00320359889883548,0,mapping_failed,high_jump,high_jump,0.21756949403788894,1,high_jump,high_jump,0.24190035904757679,1
22,nateraw/kinetics-mini,,validation,flying_kite,archery,slacklining,0.0025801309384405613,0,mapping_failed,archery,flying kite,0.0020501730032265186,0,mapping_failed,archery,feeding birds,0.0032032490707933903,0,mapping_failed,flying_kite,flying_kite,0.21664628805592656,1,flying_kite,flying_kite,0.2415915799792856,1
23,nateraw/kinetics-mini,,validation,archery,archery,archery,0.0025608110008761287,1,,archery,archery,0.002034053090028465,1,,archery,archery,0.0031962579814717174,1,,archery,archery,0.17168624605983496,1,archery,archery,0.19089173804968596,1
24,nateraw/kinetics-mini,,validation,marching,marching,marching,0.002556671970523894,1,,marching,marching,0.0020461028907448053,1,,marching,marching,0.003179238992743194,1,,marching,marching,0.17155692598316818,1,marching,marching,0.19069800898432732,1
25,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.0025025210343301296,1,,archery,playing controller,0.002059863065369427,0,mapping_failed,bowling,bowling,0.0031911180121824145,1,,bowling,bowling,0.17210123501718044,1,bowling,bowling,0.19101921701803803,1
26,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.0025373611133545637,1,,bowling,bowling,0.0020352730061858892,1,,bowling,bowling,0.0031858490547165275,1,,bowling,bowling,0.17271604191046208,1,bowling,bowling,0.1906564289238304,1
27,nateraw/kinetics-mini,,validation,bowling,archery,washing feet,0.002533020917326212,0,mapping_failed,archery,washing feet,0.002058502985164523,0,mapping_failed,archery,shaking hands,0.0032091790344566107,0,mapping_failed,bowling,bowling,0.1723630930064246,1,bowling,bowling,0.1907508090371266,1
28,nateraw/kinetics-mini,,validation,archery,archery,ski jumping,0.0025571410078555346,1,mapping_failed,archery,ice climbing,0.0020700719906017184,1,mapping_failed,archery,archery,0.003193718963302672,1,,archery,archery,0.17283878207672387,1,archery,archery,0.19046806904952973,1
29,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.0025638709776103497,1,,bowling,bowling,0.002036993042565882,1,,bowling,bowling,0.0031799490097910166,1,,bowling,bowling,0.1713289770996198,1,bowling,bowling,0.1917373650940135,1
30,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.002534331986680627,1,,bowling,bowling,0.002036342048086226,1,,bowling,bowling,0.0031896278960630298,1,,bowling,bowling,0.17186762497294694,1,bowling,bowling,0.1909201079979539,1
31,nateraw/kinetics-mini,,validation,marching,marching,marching,0.0025347110349684954,1,,marching,marching,0.0020402029622346163,1,,marching,marching,0.0031976079335436225,1,,marching,marching,0.17420018604025245,1,marching,marching,0.19056103006005287,1
32,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.0025675409706309438,0,mapping_failed,archery,flying kite,0.002064693020656705,0,mapping_failed,archery,flying kite,0.0032152089988812804,0,mapping_failed,flying_kite,flying_kite,0.21750549401622266,1,flying_kite,flying_kite,0.24201436794828624,1
33,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.0025464510545134544,1,,bowling,bowling,0.002042024047113955,1,,bowling,bowling,0.0031813490204513073,1,,bowling,bowling,0.1722117339959368,1,bowling,bowling,0.19077981903683394,1
34,nateraw/kinetics-mini,,validation,archery,archery,archery,0.002550751087255776,1,,archery,archery,0.002050802926532924,1,,archery,archery,0.0031868189107626677,1,,archery,archery,0.17391440796200186,1,archery,archery,0.1906821789452806,1
35,nateraw/kinetics-mini,,validation,marching,marching,marching,0.0025490609696134925,1,,marching,marching,0.0020434530451893806,1,,marching,marching,0.003202709020115435,1,,marching,marching,0.17225746298208833,1,marching,marching,0.1909596980549395,1
36,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.002558480016887188,1,,bowling,bowling,0.0020400129724293947,1,,bowling,bowling,0.0031886380165815353,1,,bowling,bowling,0.17238607304170728,1,bowling,bowling,0.19065346999559551,1
37,nateraw/kinetics-mini,,validation,marching,marching,marching,0.0025500409537926316,1,,marching,marching,0.002036041929386556,1,,marching,marching,0.0031904580537229776,1,,marching,marching,0.17279714194592088,1,marching,marching,0.19048841996118426,1
38,nateraw/kinetics-mini,,validation,high_jump,archery,high jump,0.0025469609536230564,0,mapping_failed,archery,high jump,0.002084342995658517,0,mapping_failed,archery,high jump,0.0032083980040624738,0,mapping_failed,high_jump,high_jump,0.2170917069306597,1,high_jump,high_jump,0.24185047904029489,1
39,nateraw/kinetics-mini,,validation,high_jump,archery,pole vault,0.002583540976047516,0,mapping_failed,archery,pole vault,0.0020566220628097653,0,mapping_failed,archery,high jump,0.0032116989605128765,0,mapping_failed,high_jump,high_jump,0.21731194504536688,1,high_jump,high_jump,0.24195515899918973,1
40,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.002546770963817835,0,mapping_failed,archery,flying kite,0.0020720130996778607,0,mapping_failed,archery,flying kite,0.0032072990434244275,0,mapping_failed,flying_kite,flying_kite,0.2174672349356115,1,flying_kite,flying_kite,0.24174637894611806,1
41,nateraw/kinetics-mini,,validation,high_jump,archery,high jump,0.002549320925027132,0,mapping_failed,archery,high jump,0.002071472001262009,0,mapping_failed,archery,high jump,0.003205448971129954,0,mapping_failed,high_jump,high_jump,0.21768147393595427,1,high_jump,high_jump,0.24234517698641866,1
42,nateraw/kinetics-mini,,validation,flying_kite,archery,flying kite,0.0025708109606057405,0,mapping_failed,archery,flying kite,0.0020493019837886095,0,mapping_failed,archery,flying kite,0.0031960289925336838,0,mapping_failed,flying_kite,flying_kite,0.21736506500747055,1,flying_kite,flying_kite,0.24183760897722095,1
43,nateraw/kinetics-mini,,validation,bowling,bowling,bowling,0.002560031018219888,1,,bowling,bowling,0.0020395820029079914,1,,bowling,bowling,0.0031894990243017673,1,,bowling,bowling,0.17783925402909517,1,bowling,bowling,0.19728800596203655,1
44,nateraw/kinetics-mini,,validation,marching,archery,mopping floor,0.0025358510902151465,0,mapping_failed,archery,finger snapping,0.0020611329236999154,0,mapping_failed,archery,robot dancing,0.0032159980619326234,0,mapping_failed,marching,marching,0.17899694002699107,1,marching,marching,0.19802542391698807,1
