scenario,y_true,video_path,video_index,sample_in_video,frame_index,sample_idx_global,yolo_pred,yolo_conf,lat_yolo_ms,gemma_full_pred,gemma_full_decision,lat_gemma_full_ms,periodic_k,periodic_called,periodic_pred,periodic_gemma_decision,lat_periodic_ms
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,1,0,1,1,0.807630717754364,690.2648400009639,1,REAL_FIRE,2581.1761549994117,5,False,1,,690.2648400009639
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,2,79,2,1,0.847874104976654,8.6619290013914,1,REAL_FIRE,2291.5270579997014,5,False,1,,8.6619290013914
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,3,158,3,1,0.8202880024909973,8.7057390010159,1,REAL_FIRE,2282.130777999555,5,False,1,,8.7057390010159
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,4,237,4,1,0.8520486354827881,8.573270000852062,1,REAL_FIRE,2280.4444809989945,5,False,1,,8.573270000852062
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,5,316,5,1,0.8437865972518921,9.38951800162613,1,REAL_FIRE,2282.4372659997607,5,True,1,REAL_FIRE,2298.536056001467
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,6,394,6,1,0.8606260418891907,8.577610000429559,1,REAL_FIRE,2334.239850999438,5,False,1,,8.577610000429559
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,7,473,7,1,0.8731566667556763,8.48853999923449,1,REAL_FIRE,2284.3835160001618,5,False,1,,8.48853999923449
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,8,552,8,1,0.8571279048919678,8.617940000476665,1,REAL_FIRE,2218.1829979999748,5,False,1,,8.617940000476665
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,9,631,9,1,0.8696359395980835,8.573690000048373,1,REAL_FIRE,2282.333118000679,5,False,1,,8.573690000048373
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,10,710,10,1,0.8448250889778137,8.54413999877579,1,REAL_FIRE,2283.911022999746,5,True,1,REAL_FIRE,2293.5351579981216
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,11,789,11,1,0.8787515759468079,8.541819999663858,1,REAL_FIRE,2283.4523700003047,5,False,1,,8.541819999663858
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,12,868,12,1,0.8506448864936829,9.26379900010943,1,REAL_FIRE,2283.8976069997443,5,False,1,,9.26379900010943
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,13,947,13,1,0.8522603511810303,8.542249999663909,1,REAL_FIRE,2219.4984840007237,5,False,1,,8.542249999663909
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,14,1026,14,1,0.8341107964515686,8.44839000092179,1,REAL_FIRE,2284.872551001172,5,False,1,,8.44839000092179
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,15,1105,15,1,0.8556464314460754,8.648150998851634,1,REAL_FIRE,2285.9317769998597,5,True,1,REAL_FIRE,2293.8088979990425
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,16,1183,16,1,0.8215833902359009,8.589220000430942,1,REAL_FIRE,2283.2947800015972,5,False,1,,8.589220000430942
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,17,1262,17,1,0.8426154255867004,8.560120000765892,1,REAL_FIRE,2283.510536999529,5,False,1,,8.560120000765892
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,18,1341,18,1,0.830596387386322,8.590241001002141,1,REAL_FIRE,2417.2344700000394,5,False,1,,8.590241001002141
fire_videos,1,detectium_fire/fire/00e18d86-3389d8dc.mp4,1,19,1420,19,1,0.803061306476593,8.53463999919768,1,REAL_FIRE,2285.9960780006077,5,False,1,,8.53463999919768
